,0,1
0,"Marianne, I was just wondering. I know you’ll give us more at Investor Day. But just in terms of that first quarter starting point for NII and just how it translates between growth in the balance sheet, and then you mentioned the benefit from the rollover in rates, can you help us just try to think about how you parse those views out and think about volume vs. rate?","{'neg': 0.0, 'neu': 0.854, 'pos': 0.146, 'compound': 0.899}"
1,"Understood, great. And if I could ask a follow-up, just on the volume side, you had another great year of double-digit loan growth. And obviously, we’re at this intersection between what was and then what will be. Any change to that expectation that you could just grow the loan book, core loan book that is, as strongly as you have in the past three years?","{'neg': 0.0, 'neu': 0.821, 'pos': 0.179, 'compound': 0.9169}"
2,"I just wanted to dig in a little bit on the forward look NII up a bit, but also expenses up a bit, and I just wanted to understand. Is that because you’ve got the opportunity to reinvest in things that you haven’t been able to? And if you could, just speak to what kind of timeframe the reinvestment will yield returns because the question I’ve gotten from people is why aren’t you dropping the NII benefit to the bottom line here.","{'neg': 0.0, 'neu': 0.907, 'pos': 0.093, 'compound': 0.8271}"
3,"And then the related follow-up has to do with how you’re thinking about the excess cash you’ve got and the balance sheet duration, and if there’s anything in this new interest rate environment that you would be seeking to do to optimize your position. So no change to the duration?","{'neg': 0.051, 'neu': 0.838, 'pos': 0.111, 'compound': 0.5161}"
4,"I was wondering if you could comment a little bit about some more color in Card trends. You have exciting new products out there. How are the economics of the Sapphire Reserve card been coming in relative to your expectations? And what factors drove the decision to cut the original promotion award back, and should that affect your account acquisition costs? Thanks.","{'neg': 0.03, 'neu': 0.793, 'pos': 0.177, 'compound': 0.8796}"
5,"Okay. And just as a follow-up on that, in terms of the card credit quality, it’s been very good. Would you still expect to see, though, some seasoning as the book matures? What kind of outlook would you have on the card charge-offs?","{'neg': 0.0, 'neu': 0.829, 'pos': 0.171, 'compound': 0.7937}"
6,"I know that you’ve said previously that regulatory reform or regulatory relief will unlikely have any fundamental change in terms of how you’re thinking about budgeting, but I’m wondering if you could help us understand over the past few years, how much have regulatory costs grown? And has that peaked anyway? And can you give us a sense of how that could trend over the next few years, either the natural trend of it or what the impact would be of regulatory reform?","{'neg': 0.0, 'neu': 0.893, 'pos': 0.107, 'compound': 0.8552}"
7,"Great. And just as a follow-up to John’s question on Card trends, when you look at the Card revenue rate declining about 200BPS or so y-over-y, is your response to this question essentially implying that we’ve potentially hit peak promotion in 2016, and perhaps the revenue rate will have some stability to it in 2017?","{'neg': 0.0, 'neu': 0.928, 'pos': 0.072, 'compound': 0.6249}"
8,"Jamie, your comments said that the U.S. economy may be gaining momentum. If you could give some of the basis for that comment, is it more risk borne by investors or more CapEx by companies, or is this more hope?","{'neg': 0.053, 'neu': 0.815, 'pos': 0.132, 'compound': 0.5574}"
9,"Is that enough for you to say you’re going to invest a little bit more or hire some more people or extend a little bit more? And along those lines, how do you see market share gains potentially?","{'neg': 0.0, 'neu': 0.827, 'pos': 0.173, 'compound': 0.7117}"
10,"Are you saying this might be a little bit more than just weather, that this might be more sustainable when you say the economy might be turning?","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
11,"Maybe we could just talk a little bit about the Investment Bank. Obviously, your peers and a lot of investors have been growing in their optimism for this year in terms of animal spirits and everything else, and I just wanted to get a sense of how you’re thinking about it. Do you share that optimism, and any commentary on how we can think about both banking and trading into the new year with all the moving parts that we have around policy et cetera? Thanks.","{'neg': 0.0, 'neu': 0.848, 'pos': 0.152, 'compound': 0.9153}"
12,"Okay, that’s helpful. And maybe as a follow-up, on the expense side, the comp ratio in the Investment Bank I think dropped around 240BPS this year or last year. Do you think that’s sustainable into 2017 assuming flat to up revenues, or was there anything unusual in there?","{'neg': 0.0, 'neu': 0.903, 'pos': 0.097, 'compound': 0.5719}"
13,"Hey, Jamie, one of the things that we’re seeing some of the new politicians coming in and talking about opening up the credit box, especially in the mortgage world that has really been shut down over the last years, mainly due to the rules coming from all the things, Fannie, Freddie, CFPB. What type of things do you need to see or you think they can do to open up that credit box where banks can take more risk and be protected?","{'neg': 0.027, 'neu': 0.881, 'pos': 0.092, 'compound': 0.6915}"
14,"So I guess the question for either one of you is if we do get some lower taxes and/or a better rate environment, I’m curious on your confidence on how much of that can fall to the bottom line because there’s a lot of optimism about what can happen if stocks have moved well. We’re expecting that to move to the bottom line. The big concern that people have is that it gets competed away by irrational behavior. So I’m curious to get your thoughts on that, just big picture in general. If things go well, how much of that do you retain?","{'neg': 0.04, 'neu': 0.798, 'pos': 0.162, 'compound': 0.9169}"
15,"The real follow-up I had was the concept of interest deductibility, if that is the means that they use to pay for the tax hikes, it feels to us like a bad thing. I’m just curious on how you think it impacts your franchise from anything from debt underwriting to anything else.","{'neg': 0.125, 'neu': 0.743, 'pos': 0.132, 'compound': 0.1027}"
16,"If I can circle back to the discussion on net interest income and the rate leverage, I think the outlook for net interest income to grow over $3B vs. the $1.5B before the rate increase, that’s obviously a nice lift for just a 25 basis point bump on the short end. So I guess, one, does that include the benefit of longer-term rates since they’ve moved up as well since 9/30, which I assume it does, but just to confirm that? And then secondly, what’s the levers to rising rates from here as we think about movements on both the short and long end?","{'neg': 0.0, 'neu': 0.889, 'pos': 0.111, 'compound': 0.8156}"
17,"And that’s actually going to my follow-up question. On the size of the balance sheet, you did talk about loan growth of about 10% this year. If we look full-year 2016 vs. 2015, the balance sheet or the earning assets only rose 1%. So maybe to tie that into as you think about duration the fact that you’re sitting on a lot of liquidity and cash, and how we should think about both overall growth on the balance sheet and then potentially some more remixing.","{'neg': 0.0, 'neu': 0.922, 'pos': 0.078, 'compound': 0.7096}"
18,"Hey, just a quick question on the credit and the reserve release as it relates to the energy and the metals and mining portfolio. Now that you’ve actually seen some better credit in there, how much of the reserves are left in that portfolio? And can you still see reserve releases going forward?","{'neg': 0.0, 'neu': 0.82, 'pos': 0.18, 'compound': 0.8611}"
19,"Okay, thanks. And then also on CRE again strong loan growth y-over-y. I understand that you’re focusing in these housing-constrained markets, but is there a limit to how much you can grow in those markets?","{'neg': 0.0, 'neu': 0.798, 'pos': 0.202, 'compound': 0.6542}"
20,"Marianne, just to follow up with a couple more questions on Card, I know you’ve talked quite a bit about it already. But one of the conventional wisdoms at the moment is that 2016 represented the pinnacle of the intensification of the competitive environment. I just wanted to get your thoughts on whether that’s an accurate assessment or not.","{'neg': 0.0, 'neu': 0.963, 'pos': 0.037, 'compound': 0.2617}"
21,"Great. And just on that point, the ROA expectations that you have or the consequence of the trends you just underscored, do you consider these to be sustainable as you get back to that 11% revenue yield?","{'neg': 0.0, 'neu': 0.898, 'pos': 0.102, 'compound': 0.6249}"
22,"I wanted to start off with a big picture question on the trading side. You made some recent remarks talking about the outlook for the FICC business and alluded to roughly half of the decline vs. the peak being attributable to cyclical as well as secular factors. And a lot of FICC optimists in particular that we’ve spoken with have really latched on to your remarks. And I was hoping you could provide some context as to how you determined the 50:50 split. Should we be taking those comments so literally, and how you’re thinking about the FICC fee pool trajectory overall as some of those cyclical headwinds abate?","{'neg': 0.0, 'neu': 0.911, 'pos': 0.089, 'compound': 0.836}"
23,"Thanks, Jamie. That’s extremely helpful color. And, Marianne, maybe just switching over to the expense side for a moment, you also provided some very helpful detail on some of the drivers of the strong expense progress that you’ve seen in CIB in particular. And from what I recall in last year’s update, Daniel [Pinto] actually guided to an expense target of about $19B by 2017. It looks like you’ve gotten there essentially a year early. And I’m wondering whether there are more savings initiatives that have not yet been filtered through and could potentially accrete in the coming year.","{'neg': 0.0, 'neu': 0.836, 'pos': 0.164, 'compound': 0.9492}"
24,"I was just wondering if we could talk a bit about Rates trading. To my mind, that was a product that has done particularly well this quarter. But I was wondering looking forward how you see that performing, whether it supports it by what’s going on in the yield curve or whether you see that supported more by one-off euphoria around the election, so maybe that might tail off a little bit. And then just leading on from that, how do you view the opportunities for growth in your capital markets businesses, your CIB vs. your lending businesses? Are you equally enthusiastic about both? And given the opportunities in that going forward, do you see something more positive than that?","{'neg': 0.0, 'neu': 0.754, 'pos': 0.246, 'compound': 0.9888}"
25,"It sounds maybe you’re pressures of the year-on-year growth when you’ve got CIB business, but you’re not really highlighting that in terms of your lending businesses, which obviously you’d expect for the margins to grow there, the loan books to grow.","{'neg': 0.039, 'neu': 0.919, 'pos': 0.042, 'compound': 0.0387}"
26,"Good. Can you give us some color? In the past, you’ve talked about – in the multifamily, I know you’ve commented on that in your prepared remarks, on your multifamily book. Some of the markets that you continue to be a little leery of, can you give us an update to those types of thoughts?","{'neg': 0.0, 'neu': 0.906, 'pos': 0.094, 'compound': 0.6322}"
27,"Certainly. And, Marianne, coming back to the investment portfolio, obviously you talked a little bit about the duration. Do you have the actual duration of it in years this quarter vs. Q3?","{'neg': 0.0, 'neu': 0.926, 'pos': 0.074, 'compound': 0.34}"
28,"Just a quick question for you, Marianne. In terms of the mortgage, in the overall picture I understand why you’re talking about maybe 10% core loan growth rather than 15% more recently. But just within the residential mortgage portfolio, it looks like that slowed in Q4, third and fourth quarter from a mid-teens y-over-y rate to a low single-digit q-over-q rate. Can you give us more color as to what’s going on there? Are you slowing your purchases of your own originations, or is there something else going on there?","{'neg': 0.029, 'neu': 0.911, 'pos': 0.059, 'compound': 0.4137}"
29,"The thing that jumped out at me was if you looked at the Asset Management group, you had $21B of long-term product outflows and you had $35B of liquidity products inflows. And it seems like now that we’re getting past the financial crisis when everybody was looking at liquidity, combining that with continued deposit growth, we’re not seeing a change in that perspective, but there’s still a premium for increasing liquidity still.","{'neg': 0.035, 'neu': 0.894, 'pos': 0.072, 'compound': 0.1901}"
30,Do you foresee that premium for liquidity lessening as we go into the re-risking of a better economy and some things that have improved the outlook?,"{'neg': 0.0, 'neu': 0.793, 'pos': 0.207, 'compound': 0.7184}"
31,"And then my last follow-up was when you look at M&A, we had M&A suppressed when things were more regulatory constrained and the outlook was a negative on the overall economy, not an uncertainty. Now we have this positive uncertainty. Wouldn’t that delay some activity for at least a couple of quarters for people to see where we’re going to end up and see where tax rates are and see what we might get a deregulation that might change their perspective on their long-term opportunities? So I just thought there might be a little pause here.","{'neg': 0.075, 'neu': 0.819, 'pos': 0.106, 'compound': 0.5013}"
32,"Something you could just sort of address the – of the pace at which you would anticipate deploying liquidity favor the course of the year, can be – I guess I can get a directional sense for what you’ve been doing in the earning asset base, but just curious kind of philosophically how are you thinking about legging into higher interest rates, as we look throughout 2017?","{'neg': 0.0, 'neu': 0.846, 'pos': 0.154, 'compound': 0.8608}"
33,"And then maybe skipping over to the sort of the volume side of the NII equation. I think Q1 guidance is still for more modest growth, but then you got the stronger growth outlook for the full year on overall loan growth. Just curious as to how you see things building as it relates to overall loan growth in some of the actual favorable impact of some of these newer initiatives on both the consumer and commercial side?","{'neg': 0.0, 'neu': 0.746, 'pos': 0.254, 'compound': 0.9747}"
34,"One on expenses. I see the 350 CIP target. Can you just talk about whether or not there’s an opportunity to drop any of that to the bottom line. I mean I saw the guidance for next year with expense expectation in the low-single-digits, but wondered if that includes the CIP, and so the result is that you’re now dropping into the bottom-line or am I misunderstanding something?But what I’m also hearing is a little bit of backend improvement expected.","{'neg': 0.084, 'neu': 0.867, 'pos': 0.049, 'compound': -0.2302}"
35,And then just secondly on the tax question. There’s obviously been a lot of chatter around potentially having a lower tax rate. I know there’s a tremendous amount of puts and takes until we get to the end state. But if could you just speak broadly to whether or not changes in tax policy would impact how you’re thinking about the stake you have in BlackRock.,"{'neg': 0.026, 'neu': 0.974, 'pos': 0.0, 'compound': -0.1531}"
36,"Just as I take a step back, clearly a lot has changed since we’ve talked to you all last. Can you give us a sense of how much regulatory costs have increased over the past few years for PNC? And what you think the natural trajectory is of those regulatory costs and how that trajectory could potentially change, if we do have some regulatory relief?","{'neg': 0.0, 'neu': 0.841, 'pos': 0.159, 'compound': 0.8677}"
37,"And just a follow-up to clarify the guidance on revenues, the up mid-single-digits. What is the backdrop from a rate perspective Rob, that you are assuming?","{'neg': 0.135, 'neu': 0.865, 'pos': 0.0, 'compound': -0.5574}"
38,"Coming back to your comments about the technology infrastructure spending that you’ve been doing for a number years now.Is there a period, where you think that that extra spending, if there is extra spending going on, that ends, and you start to see that kind of flatten out and maybe even come down in total technology spending?And is the infrastructure spend, does that finish up end of this year, into next year, or any timetable?","{'neg': 0.0, 'neu': 0.977, 'pos': 0.023, 'compound': 0.168}"
39,"Can you give us any color on where we stand on Zelle being rolled out this quarter? What your expectations are for this year, and how business could – or the PDP spending could help your consumer business?","{'neg': 0.0, 'neu': 0.922, 'pos': 0.078, 'compound': 0.4696}"
40,"Just on the BlackRock stake, just given the potential corporate tax reform here, I wanted to see if you can give us your updated thoughts on how you’re thinking about the stake, and if you could look at a potential sale here? And if so, if you could just talk about the capital deployment opportunities, how you would view that?","{'neg': 0.0, 'neu': 0.951, 'pos': 0.049, 'compound': 0.4515}"
41,"I just realized Betsy had asked that. And then, on that – in terms of your thoughts on M&A, as you look at things. I know you’ve been reserved in terms of your outlook there, are you feeling any different here as you look into next year or this year?","{'neg': 0.0, 'neu': 0.968, 'pos': 0.032, 'compound': 0.128}"
42,"And if I could throw one more in there, on the HELOC loans coming in better than expected in terms of their performance, is that something that you expect to continue through the year?","{'neg': 0.0, 'neu': 0.917, 'pos': 0.083, 'compound': 0.4404}"
43,"Just a follow-up on your full year revenue growth guidance in the mid-single-digits, that’s another way, any sense of what that would look like ex, any rate increases through the year and then looking at the components of that, any sense of growth expectations for fee revenues and then net interest income for the year?","{'neg': 0.0, 'neu': 0.824, 'pos': 0.176, 'compound': 0.8658}"
44,"You mentioned that inside the $350mm CIP for the year, you are now contemplating some of these – the multiple ongoing initiatives you guys got. So, is it fair to say that as we do roll forward, that whether it’s the data center stuff or the tech rationalization, branches, home equity, that’s all contemplated in your annual CIP, as we now forward? At one point in a conference you laid out a lot of individual pieces, but I just wanted to make sure that...","{'neg': 0.0, 'neu': 0.943, 'pos': 0.057, 'compound': 0.5764}"
45,"And then just on the fee side, if you’re in that mid-single-digit zone in your kind of outlook for fees, I’m wondering just what – if you could parse out, what do you think is going to lead that this year? Your last year was a bit of a mixed year with asset management having the charge and then the resi mortgage. So what do you think steps back out this year?","{'neg': 0.0, 'neu': 0.96, 'pos': 0.04, 'compound': 0.4329}"
46,And just one quick one. Can you quantify just how much forward purchases of the securities you did that will settle in Q1?,"{'neg': 0.0, 'neu': 0.909, 'pos': 0.091, 'compound': 0.296}"
47,"Maybe a question – a couple of related questions for you, Rob. First of all – and I apologize if I missed any comments, you may have said about this early on. But any change to your thinking about managing the AOCI risk as rates rise, now that it at least appears at this point that we could get a little bit greater of a rate increase than we’ve seen in the past few years.","{'neg': 0.088, 'neu': 0.818, 'pos': 0.094, 'compound': 0.111}"
48,"And then just on a related question in terms of any change in your thinking about deposit beta. I noticed in Q4, there was a little in – there was a 1 basis point increase in your overall deposit cost, which was actually – last fourth quarter when we had the 25-basis-point hike, there was a 1 basis point decline. So just curious if you – any change in your thinking about deposit beta?","{'neg': 0.0, 'neu': 0.927, 'pos': 0.073, 'compound': 0.5965}"
49,"Just wanted to ask a question on energy. It looked like the oil and gas loans were up a little bit. I just wanted to get sense for, does that draws on existing lines or are you actually starting to see opportunities to grow that portfolio? I know it’s small. And then as a follow-up, you kind of cited throughout the year that oil and gas was a driver of the provision. How much was the contribution to energy this year from provision, and how does that relate to your outlook for 2017? ","{'neg': 0.0, 'neu': 0.896, 'pos': 0.104, 'compound': 0.8253}"
50,"At this point in the credit cycle, PNC’s loan growth would lag the industry and you’ve talked about that for a while now. But if we think about accelerating economic growth, are you willing to take more credit risk to show loan growth? So is this a different playbook, given the backdrop that’s emerged since the elections?","{'neg': 0.071, 'neu': 0.717, 'pos': 0.212, 'compound': 0.8553}"
51,"The seasonal increase in commercial deposits in Q4, has that left the balance sheet by the end of the year, or do you expect seasonality to decline in Q1?","{'neg': 0.0, 'neu': 0.924, 'pos': 0.076, 'compound': 0.3182}"
52,"I just wanted to follow-up on the question that was just asked about loan growth and you’re saying that C&I loan growth is going to accelerate, given the backdrop that we’re seeing right now. But at the same time, we have corporate leverage which is very high compared to what we saw post crisis and we have interest rates moving higher. How do you think about the balance between corporate leverage being high and rates moving higher, while also seeing growth in companies’ spending?","{'neg': 0.06, 'neu': 0.824, 'pos': 0.116, 'compound': 0.5187}"
